SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_AMOUNT,IS_FRAUD
6456,9069,465.05,False
7516,9543,564.64,False
2445,9356,598.94,False
2576,4617,466.07,False
3524,1773,405.63,False
7123,3327,11.38,False
7123,9711,11.38,False
7123,4660,11.38,False
7123,7018,11.38,False
7123,8957,11.38,False
7123,9637,11.38,False
7123,5746,11.38,False
7123,9915,11.38,False
7123,8293,11.38,False
7123,9816,11.38,False
7123,2060,11.38,False
7123,6491,11.38,False
8506,5360,415.85,False
382,8211,0.0,False
6613,9975,162.3,False
6613,2775,162.3,False
6613,9998,162.3,False
6613,9968,162.3,False
6613,9979,162.3,False
6613,9527,162.3,False
6613,5515,162.3,False
6613,361,162.3,False
6613,9261,162.3,False
6613,2626,162.3,False
6613,8184,162.3,False
8545,9466,559.09,False
4705,9310,177.47,False
4705,9797,177.47,False
4705,6997,177.47,False
4705,3972,177.47,False
4705,4325,177.47,False
4705,6824,177.47,False
4705,3150,177.47,False
4705,9394,177.47,False
7425,9047,563.26,False
1638,1996,171.25,False
1638,4154,171.25,False
1638,3386,171.25,False
1638,2509,171.25,False
1638,5506,171.25,False
1638,7482,171.25,False
14,7000,80.91,False
14,2909,80.91,False
1593,1338,564.4,False
8583,8553,425.6,False
8413,8255,593.28,False
7708,5130,112.37,False
7708,7211,112.37,False
7708,9178,112.37,False
7708,4484,112.37,False
7708,8358,112.37,False
7708,5046,112.37,False
7708,8458,112.37,False
7708,147,112.37,False
7708,3510,112.37,False
7708,5557,112.37,False
7708,7934,112.37,False
7708,9819,112.37,False
7708,5804,112.37,False
7803,8589,379.08,False
7072,9971,12.94,False
7072,7596,12.94,False
7072,6014,12.94,False
7072,9654,12.94,False
7072,9259,12.94,False
7072,2584,12.94,False
7072,8965,12.94,False
7072,9416,12.94,False
7072,9999,12.94,False
7072,3986,12.94,False
7072,9440,12.94,False
2423,7543,575.46,False
107,7970,44.41,False
107,9171,44.41,False
107,9392,44.41,False
5408,2238,468.41,False
6976,9739,4.85,True
2523,447,574.52,False
4537,275,482.55,False
9421,6252,479.82,False
7503,7197,530.95,False
572,4859,479.76,False
2546,8650,528.65,False
455,9701,536.2,False
4468,572,441.39,False
4586,1600,455.57,False
6424,9672,586.13,False
1594,3937,446.7,False
3445,4383,565.33,False
8431,9366,508.89,False
577,5691,587.41,False
2497,3329,428.85,False
6460,8321,471.94,False
3547,7154,474.22,False
7435,9894,586.45,False
1731,3951,102.43,False
1731,3797,102.43,False
1731,7669,102.43,False
1731,7914,102.43,False
1731,6085,102.43,False
1731,4747,102.43,False
1418,3149,404.23,False
6462,8102,448.63,False
8944,7662,211.64,False
5599,7033,419.51,False
6049,7098,12.1,False
6049,8157,12.1,False
6049,9441,12.1,False
6049,9430,12.1,False
6049,1378,12.1,False
6049,9866,12.1,False
6049,5477,12.1,False
6049,5028,12.1,False
6049,4720,12.1,False
6049,9999,12.1,False
6049,9273,12.1,False
4514,4393,533.16,False
510,9884,587.65,False
2541,9992,580.65,False
1752,9542,102.19,False
1752,3415,102.19,False
1752,9986,102.19,False
1752,7995,102.19,False
1752,8957,102.19,False
1752,7947,102.19,False
1576,6707,475.77,False
4407,9101,455.79,False
7495,9124,514.57,False
4603,9136,160.58,False
4603,9202,160.58,False
4603,5122,160.58,False
4603,9985,160.58,False
4603,6634,160.58,False
4603,7458,160.58,False
4603,6071,160.58,False
4603,2380,160.58,False
345,7253,0.0,False
7558,5185,469.75,False
8563,9113,534.76,False
9535,6351,599.44,False
7144,9883,10.0,False
7144,7593,10.0,False
7144,9992,10.0,False
7144,9266,10.0,False
7144,1136,10.0,False
7144,2115,10.0,False
7144,9613,10.0,False
7144,8414,10.0,False
7144,8874,10.0,False
7144,9286,10.0,False
7144,5181,10.0,False
7144,5616,10.0,False
8512,9510,529.86,False
2596,3614,530.91,False
2429,8561,446.01,False
4558,1459,544.21,False
3532,45,553.1,False
6471,9553,406.17,False
1688,5142,141.13,False
1688,9656,141.13,False
1688,8985,141.13,False
1688,3770,141.13,False
1688,9215,141.13,False
1688,8229,141.13,False
3482,2424,535.53,False
3983,9663,298.73,False
9436,7222,459.07,False
5491,9971,584.33,False
6747,2889,138.47,False
6747,7098,138.47,False
6747,5691,138.47,False
6747,5790,138.47,False
6747,8128,138.47,False
6747,9129,138.47,False
6747,6963,138.47,False
6747,381,138.47,False
6747,8351,138.47,False
6747,9828,138.47,False
6747,9916,138.47,False
7125,6809,9.65,False
7125,3849,9.65,False
7125,3138,9.65,False
7125,8964,9.65,False
7125,9973,9.65,False
7125,9655,9.65,False
7125,9924,9.65,False
7125,5138,9.65,False
7125,7328,9.65,False
7125,9808,9.65,False
7125,4649,9.65,False
7125,8706,9.65,False
2527,8226,553.03,False
4529,9751,564.29,False
9577,8773,427.82,False
4630,5198,108.0,False
4630,1355,108.0,False
4630,9558,108.0,False
4630,9503,108.0,False
4630,1981,108.0,False
4630,5225,108.0,False
4630,3686,108.0,False
4630,1836,108.0,False
6076,9036,12.95,False
6076,7374,12.95,False
6076,9983,12.95,False
6076,8484,12.95,False
6076,7662,12.95,False
6076,3431,12.95,False
6076,5973,12.95,False
6076,8834,12.95,False
6076,4170,12.95,False
6076,8062,12.95,False
9832,9664,361.48,False
9832,6793,361.48,False
5434,7211,445.29,False
2457,9178,431.07,False
1579,9267,440.32,False
4424,9762,578.23,False
8453,6098,481.14,False
5505,3516,444.13,False
3859,8013,293.04,False
8621,7891,141.85,False
8621,9125,141.85,False
8621,2190,141.85,False
8621,7670,141.85,False
8621,79,141.85,False
8621,9668,141.85,False
8621,8733,141.85,False
8621,9863,141.85,False
8621,9995,141.85,False
8621,3150,141.85,False
8621,1712,141.85,False
8621,3613,141.85,False
8621,1102,141.85,False
8621,7811,141.85,False
8621,9925,141.85,False
8621,8943,141.85,False
8621,9949,141.85,False
6721,8971,160.0,False
6721,9441,160.0,False
6721,9342,160.0,False
6721,4255,160.0,False
6721,9599,160.0,False
6721,7547,160.0,False
6721,5237,160.0,False
6721,7359,160.0,False
6721,7527,160.0,False
6721,8118,160.0,False
6721,3754,160.0,False
6721,6855,160.0,False
9525,7165,496.2,False
8532,9663,469.27,False
3611,5591,111.29,False
3611,9553,111.29,False
3611,6672,111.29,False
3611,5850,111.29,False
3611,9999,111.29,False
3611,4887,111.29,False
3611,3393,111.29,False
3611,9682,111.29,False
7566,5274,588.63,False
7581,5154,413.08,False
8451,8695,529.2,False
8555,4272,445.98,False
3582,6907,497.2,False
3803,8907,320.19,False
7460,3549,483.3,False
1423,3317,583.25,False
2437,4384,547.84,False
2002,9485,19.94,False
2002,7078,19.94,False
2002,8875,19.94,False
2002,9698,19.94,False
2002,6776,19.94,False
2002,9889,19.94,False
5407,9177,488.92,False
4438,9689,573.57,False
2433,8630,403.57,False
5454,7264,451.89,False
9472,6251,436.98,False
5564,8155,468.19,False
9409,8432,567.46,False
9407,6395,460.72,False
3416,9953,521.11,False
2444,7582,438.32,False
4704,1436,150.08,False
4704,4707,150.08,False
4704,9930,150.08,False
4704,9666,150.08,False
4704,6050,150.08,False
4704,4290,150.08,False
4704,5291,150.08,False
4704,7805,150.08,False
2673,9697,167.55,False
2673,9840,167.55,False
2673,5430,167.55,False
2673,9679,167.55,False
2673,9988,167.55,False
2673,5645,167.55,False
2673,3830,167.55,False
2673,1390,167.55,False
2577,9236,555.86,False
9508,8134,414.04,False
4694,9498,133.55,False
4694,4030,133.55,False
4694,8166,133.55,False
4694,9992,133.55,False
4694,3303,133.55,False
4694,9665,133.55,False
4694,4115,133.55,False
4694,9905,133.55,False
6571,1459,501.08,False
5140,2746,19.79,False
5140,6808,19.79,False
5140,6730,19.79,False
5140,6059,19.79,False
5140,3982,19.79,False
5140,9913,19.79,False
5140,3796,19.79,False
5140,9746,19.79,False
5140,2083,19.79,False
4519,2765,531.78,False
4721,9971,190.0,False
4721,2458,190.0,False
4721,5990,190.0,False
4721,9871,190.0,False
4721,6487,190.0,False
4721,6299,190.0,False
4721,9951,190.0,False
4721,3397,190.0,False
4721,7381,190.0,False
7491,9851,512.42,False
6555,7098,440.3,False
6499,6551,556.46,False
5507,7286,503.17,False
5999,9993,253.16,False
4469,7596,458.88,False
4564,6045,550.5,False
3454,5184,401.69,False
8576,9586,565.19,False
8515,8300,588.64,False
2413,9300,401.39,False
467,6906,586.85,False
5405,9048,482.02,False
3434,2713,558.13,False
1417,8266,481.0,False
4416,7682,467.58,False
7662,9982,124.02,False
7662,9199,124.02,False
7662,9217,124.02,False
7662,9107,124.02,False
7662,6431,124.02,False
7662,6511,124.02,False
7662,2384,124.02,False
7662,9151,124.02,False
7662,3476,124.02,False
7662,4642,124.02,False
7662,9825,124.02,False
7662,4235,124.02,False
7662,9617,124.02,False
7662,2802,124.02,False
534,6262,579.53,False
8475,9730,540.78,False
5508,6320,461.2,False
5148,9998,12.88,False
5148,6159,12.88,False
5148,7503,12.88,False
5148,7128,12.88,False
5148,8514,12.88,False
5148,9989,12.88,False
5148,8075,12.88,False
5148,1516,12.88,False
5148,4901,12.88,False
1524,1217,536.78,False
8679,9177,110.44,False
8679,8359,110.44,False
8679,9962,110.44,False
8679,8785,110.44,False
8679,9038,110.44,False
8679,9643,110.44,False
8679,9996,110.44,False
8679,4014,110.44,False
8679,8141,110.44,False
8679,1334,110.44,False
8679,9913,110.44,False
8679,7912,110.44,False
8679,8338,110.44,False
8679,9911,110.44,False
8679,8427,110.44,False
8679,8779,110.44,False
8679,5934,110.44,False
6442,7374,563.73,False
2518,9612,459.29,False
487,1974,419.83,False
2517,5791,404.42,False
7235,8299,40.08,False
4566,5261,492.67,False
796,4493,128.46,False
796,5611,128.46,False
796,6636,128.46,False
796,7181,128.46,False
796,9291,128.46,False
796,7590,128.46,False
5538,9135,454.54,False
8907,9870,330.27,False
7653,6352,104.13,False
7653,9986,104.13,False
7653,7322,104.13,False
7653,8634,104.13,False
7653,6532,104.13,False
7653,9392,104.13,False
7653,9154,104.13,False
7653,9591,104.13,False
7653,8492,104.13,False
7653,8709,104.13,False
7653,1149,104.13,False
7653,9809,104.13,False
7653,5348,104.13,False
431,9576,430.26,False
5658,7175,189.5,False
5658,5042,189.5,False
5658,9777,189.5,False
5658,8247,189.5,False
5658,9853,189.5,False
5658,8736,189.5,False
5658,4004,189.5,False
5658,5535,189.5,False
5658,5956,189.5,False
1541,8754,476.52,False
7959,6185,223.41,False
4077,9135,19.43,False
4077,9932,19.43,False
4077,9129,19.43,False
4077,1298,19.43,False
4077,4489,19.43,False
4077,2110,19.43,False
4077,9746,19.43,False
4077,9181,19.43,False
424,1855,430.26,False
7505,5296,580.78,False
5470,9795,573.16,False
1585,9983,578.65,False
3409,5185,548.47,False
6522,4927,556.13,False
7551,3318,472.41,False
4435,8808,525.48,False
9346,7066,31.98,False
5532,9872,519.47,False
6525,5174,599.59,False
4461,1411,453.04,False
5593,3206,424.17,False
433,2405,523.47,False
2467,9950,567.8,False
4540,9763,546.53,False
8405,7752,511.67,False
7532,8233,435.55,False
1299,9784,22.72,False
6592,4282,500.47,False
3699,6120,124.23,False
3699,7750,124.23,False
3699,7640,124.23,False
3699,9821,124.23,False
3699,9569,124.23,False
3699,9985,124.23,False
3699,934,124.23,False
3699,1060,124.23,False
4072,9464,16.67,False
4072,7862,16.67,False
4072,1992,16.67,False
4072,9699,16.67,False
4072,8786,16.67,False
4072,9636,16.67,False
4072,9806,16.67,False
4072,4858,16.67,False
2730,9444,197.39,False
2730,9996,197.39,False
2730,7998,197.39,False
2730,8292,197.39,False
2730,715,197.39,False
2730,4779,197.39,False
2730,4878,197.39,False
96,5680,59.77,False
96,7723,59.77,False
96,3699,59.77,False
9062,9796,7.36,False
9062,8248,7.36,False
9062,8942,7.36,False
9062,8436,7.36,False
9062,3980,7.36,False
9062,4563,7.36,False
9062,9963,7.36,False
9062,9054,7.36,False
9062,9990,7.36,False
9062,9781,7.36,False
9062,560,7.36,False
9062,682,7.36,False
9062,1235,7.36,False
9062,810,7.36,False
9062,9625,7.36,False
9062,3633,7.36,False
9062,4634,7.36,False
9062,1109,7.36,False
9062,4748,7.36,False
6880,9026,277.51,False
6940,8820,266.33,False
6189,9773,17.43,False
6189,8421,17.43,False
6189,9034,17.43,False
6189,9695,17.43,False
6189,4158,17.43,False
6189,449,17.43,False
6189,8328,17.43,False
6189,7768,17.43,False
6189,9472,17.43,False
6189,9729,17.43,False
9296,9014,44.33,False
2833,1135,381.76,False
568,8750,511.64,False
7329,9960,0.0,False
2478,6450,517.86,False
9571,9168,530.53,False
97,4419,36.07,False
97,3332,36.07,False
97,9724,36.07,False
9493,9388,547.66,False
3463,2458,402.73,False
1460,1414,551.07,False
3516,7871,504.95,False
7432,5739,442.92,False
1273,7808,22.72,False
9470,8156,485.41,False
1226,6929,0.0,False
683,9961,112.91,False
683,2202,112.91,False
683,6315,112.91,False
683,9748,112.91,False
683,9948,112.91,False
9442,9762,529.29,False
2225,1558,121.92,False
3074,9840,20.63,False
